Returns22,Individuals22,Returns21,Individuals21,Returns20,Individuals20,Returns19,Individuals19,stname,ctyname,fips,stname,ctyname,fips,STATEFIPS,COUNTYFIPS,agi_stub,returns,individuals,avg_individuals_per_return,popestimate,income_per_capita,gdp_per_capita,gdp_income_ratio,inflow_returns,outflow_returns,net_migration_returns_not_AGI,net_migration_not_AGI,inflow_agi,outflow_agi,net_income_migration,migration_rate_returns,migration_rate,child_share,working_age_share,elderly_share_pop,male_share,agi_total,income_total,agi_per_return,income_per_return,agi_per_person,labor_income,business_income,investment_income,rental_income,retirement_income,transfer_like_income,labor_share,business_share,investment_share,rental_share,retirement_share,transfer_like_share,non_labor_income,non_labor_share,wage_incidence,capgains_incidence,business_incidence,rental_incidence,unemployment_incidence,eitc_incidence,mortgage_interest_incidence,property_tax_incidence,single_share,married_share,hoh_share,mortgage_interest_per_return,property_tax_per_return,salt_income_tax_per_return,salt_sales_tax_per_return,tax_before_credits_total,credits_total,tax_after_credits_total,total_tax_liability,total_tax_payments,tax_per_return,effective_tax_rate_on_agi,effective_tax_rate_on_taxable,credits_share_of_tax_before,eitc_per_return,eitc_per_eitc_return,refundable_eitc_proxy_per_return,refundable_ctc_per_return,refundable_edu_per_return
1040,2920,920,2570,690,1950,640,1850,Alabama,Autauga County,01001,Alabama,Autauga County,01001,01,001,8,1040,2920,2.8076923076923075,59191,54.103698197361084,32.22067544052305,0.5955355458879633,2105,1945,160,160,133082,123796,9286,0.002703114,4.9961716834475586e-5,0.23539051544998396,0.5281884070213377,0.1598384889594702,0.4864084066834485,357488,360746,343.73846153846154,346.87115384615385,122.42739726027398,199599,71026,42486,2848,32992,6194,0.5583376225215951,0.19868079487982812,0.11884594727655194,0.007966701,0.092288412,0.017326455713198765,149352,0.4177818556147339,0.8942307692307693,0.47115384615384615,0.49038461538461536,0.15384615384615385,0,0,0.28846153846153844,0.3173076923076923,0.057692307692307696,0.9134615384615384,0,3.2778846153846155,0.698076923,4.872115384615385,0.099038462,64260,2027,61989,65453,60392,62.93557692307692,0.1830914604126572,0.21421581622467248,0.031543729,0,NA,0,0,0
8400,22770,7700,20630,5890,16320,5240,14440,Alabama,Baldwin County,01003,Alabama,Baldwin County,01003,01,003,8,8400,22770,2.710714285714286,239411,65.11985664819076,41.469940813078765,0.6368248173075628,7773,5089,2684,2684,720026,331895,388131,0.011210846619411807,1.721571145338705e-4,0.2133360622527787,0.5028298616187226,0.21351984662358872,0.4875590511714165,3964889,4006313,472.0105952380952,476.9420238095238,174.12775581906016,1722047,945011,943686,47017,288244,72456,0.43432413870854897,0.23834488178609792,0.2380106984079504,0.011858339539896325,0.072699135,0.018274408186458688,2223958,0.5609130545647053,0.8238095238095238,0.5857142857142857,0.6761904761904762,0.21071428571428572,0.005952381,0,0.31785714285714284,0.35714285714285715,0.1,0.8690476190476191,0.019047619,4.767380952380952,1.4123809523809523,8.230357142857143,0.11035714285714286,807309,19358,787951,833236,735556,99.1947619,0.2101536764333125,0.23789206813263367,0.023978427,0,NA,0,0.014166666666666666,0
220,580,220,540,190,460,140,360,Alabama,Barbour County,01005,Alabama,Barbour County,01005,01,005,8,220,580,2.6363636363636362,24517,42.14128971733899,29.782436676591754,0.7067281726866038,456,475,-19,-19,21397,19851,1546,-7.75E-04,-1.84E-05,0.2126687604519313,0.5063425378308929,0.201982298,0.5226169596606436,106026,107170,481.93636363636364,487.1363636363636,182.80344827586208,32853,22999,20405,579,7581,2693,0.3098579593684568,0.21691849169071736,0.19245279459755155,0.005460925,0.07150133,0.02539943,51564,0.48633354082960784,0.7727272727272727,0.6818181818181818,0.6818181818181818,0.18181818181818182,0,0,0.2727272727272727,0.3181818181818182,0.090909091,0.8636363636363636,0,3.05,0.9454545454545454,7.027272727272727,0,20841,210,20623,22347,21190,101.57727272727273,0.21076905664648293,0.23847229188231653,0.010076291924571757,0,NA,0,0,0
170,470,130,350,110,300,100,280,Alabama,Bibb County,01007,Alabama,Bibb County,01007,01,007,8,170,470,2.764705882352941,22344,39.66049051199427,21.116049051199425,0.5324202696084516,404,532,-128,-128,18658,20976,-2318,-0.005728607,-1.44E-04,0.20188865019692087,0.5496777658431794,0.17181346222699606,0.5344163981382026,60016,60718,353.0352941176471,357.16470588235296,127.6936170212766,30040,15328,6293,414,5795,1407,0.500533191,0.25539856038389763,0.10485537190082644,0.00689816,0.096557585,0.023443748,27830,0.4637096774193548,0.8823529411764706,0.4117647058823529,0.5882352941176471,0.17647058823529413,0,0,0.29411764705882354,0.35294117647058826,0,0.8823529411764706,0,2.5176470588235293,0.6588235294117647,8.2470588235294109,0,10897,239,10638,11219,11532,65.99411764705883,0.18693348440415888,0.22436653800771952,0.021932642011562815,0,NA,0,0,0
680,1860,550,1460,430,1150,400,1080,Alabama,Blount County,01009,Alabama,Blount County,01009,01,009,8,680,1860,2.735294117647059,59050,46.42716342082981,18.394089754445385,0.39619240976916487,1380,1227,153,153,71387,58370,13017,0.002591025,5.580837519569407e-5,0.2303471634208298,0.5053005927180355,0.18697713801862828,0.4973243014394581,272391,274984,400.575,404.38823529411764,146.44677419354838,125950,79270,34903,2609,17916,4630,0.4623867895782166,0.29101548876431305,0.12813565793289794,0.009578143,0.065773098,0.016997625,134698,0.4945023881112078,0.8823529411764706,0.45588235294117646,0.5735294117647058,0.14705882352941177,0,0,0.25,0.3382352941176471,0.088235294,0.8970588235294118,0,2.85,0.9102941176470588,5.7485294117647054,0,52198,1130,50950,53894,47803,79.25588235294117,0.19785528890455265,0.23143086575085992,0.021648339,0,NA,0,0,0
60,140,50,120,40,110,30,80,Alabama,Bullock County,01011,Alabama,Bullock County,01011,01,011,8,60,140,2.3333333333333335,10126,36.25419711633419,27.829646454671142,0.7676255073411239,162,215,-53,-53,4957,8524,-3567,-0.005234051,-1.44E-04,0.2089670156033972,0.5354532885640925,0.18151293699387716,0.5457238791230495,20084,20263,334.73333333333335,337.71666666666664,143.45714285714286,6402,1415,10328,0,831,766,0.318761203,0.070454093,0.5142401911969727,0,0.04137622,0.038139813,12574,0.6260705038836885,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0.8333333333333334,0,0,0.9833333333333333,4.75,0,3063,58,3005,3349,2726,55.81666666666667,0.16674965146385182,0.1928147849617134,0.018935683969964087,0,NA,0,0,0
160,410,150,370,130,320,110,280,Alabama,Butler County,01013,Alabama,Butler County,01013,01,013,8,160,410,2.5625,18856,48.84307382265592,35.290199406024605,0.7225220823357601,273,348,-75,-75,10890,14228,-3338,-0.003977514,-8.14E-05,0.22719558761137038,0.4872719558761137,0.20863385659736955,0.46897539244802716,66585,67634,416.15625,422.7125,162.40243902439025,25180,17442,15955,716,3921,1337,0.37816325,0.26195088984005405,0.23961853270256064,0.010753172636479688,0.058887136742509574,0.020079598,38034,0.571209732,0.8125,0.5625,0.6875,0.1875,0,0,0.25,0.3125,0,0.8125,0,2.29375,1.2125,7.04375,0,13043,791,12251,13163,11305,82.26875,0.19768716677930465,0.238464465,0.060645557,0,NA,0,0,0
1110,2900,1060,2670,830,2190,790,2090,Alabama,Calhoun County,01015,Alabama,Calhoun County,01015,01,015,8,1110,2900,2.6126126126126126,115633,45.26911002914393,41.90232892,0.9256274067011385,2476,2280,196,196,121077,105491,15586,0.001695018,3.744314516306203e-5,0.21318308787283907,0.499217351,0.18144474328262694,0.48507778921242206,502569,507793,452.7648648648649,457.4711711711712,173.2996551724138,190875,157988,92946,8588,46931,12015,0.37979859481981576,0.31436081413696426,0.1849417691899023,0.017088201,0.093382202,0.023907165,306453,0.6097729863958978,0.8198198198198198,0.5135135135135135,0.6846846846846847,0.2072072072072072,0,0,0.2702702702702703,0.34234234234234234,0.10810810810810811,0.8558558558558559,0.027027027,2.7900900900900902,1.1765765765765765,8.318018018018018,0.092792793,101043,1741,99302,105448,99094,94.9981982,0.20981795534543515,0.24406942859589714,0.017230288095167405,0,NA,0,0,0
240,610,210,520,170,440,140,360,Alabama,Chambers County,01017,Alabama,Chambers County,01017,01,017,8,240,610,2.5416666666666665,34396,41.387690429119665,27.251715315734387,0.6584497717360075,743,816,-73,-73,52348,35235,17113,-0.00212234,-5.13E-05,0.20842539830212817,0.5090417490405861,0.19949994185370393,0.47799162693336433,93725,94705,390.5208333333333,394.6041666666667,153.64754098360655,44051,16757,17475,1041,8485,2553,0.4700026673779675,0.17878901040277406,0.18644971992531342,0.011106961856495066,0.090530808,0.027239263803680983,43758,0.4668765004001067,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.20833333333333334,0,0,0.25,0.2916666666666667,0.125,0.875,0,2.1458333333333335,0.85,6.466666666666667,0,17164,277,16863,17822,17708,74.25833333333334,0.1901520405441451,0.22527271118526665,0.016138429,0,NA,0,0,0
280,720,230,570,180,460,160,410,Alabama,Cherokee County,01019,Alabama,Cherokee County,01019,01,019,8,280,720,2.5714285714285716,25060,46.777693535514764,24.09437350359138,0.5150825464555738,695,515,180,180,40851,22158,18693,0.007182761,1.5355099471187436e-4,0.1881883479648843,0.5040702314445331,0.23747007182761373,0.5005985634477255,105347,106593,376.2392857142857,380.6892857142857,146.31527777777777,42799,27752,19376,498,10897,2590,0.40626690840745344,0.26343417467986746,0.1839255033365924,0.004727235,0.10343911074828899,0.024585418,58523,0.5555260235222645,0.8214285714285714,0.5,0.6071428571428571,0.17857142857142858,0,0,0.2857142857142857,0.35714285714285715,0.10714285714285714,0.8928571428571429,0,3.4535714285714287,1.1357142857142857,5.292857142857143,0,19782,256,19526,20931,14188,74.75357142857143,0.19868624640473861,0.22909461056871416,0.012941057527044789,0,NA,0,0,0
