stname,ctyname,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age04_tot,age04_male,age04_fem,age59_tot,age59_male,age59_fem,age1014_tot,age1014_male,age1014_fem,age1519_tot,age1519_male,age1519_fem,age2024_tot,age2024_male,age2024_fem,age2529_tot,age2529_male,age2529_fem,age3034_tot,age3034_male,age3034_fem,age3539_tot,age3539_male,age3539_fem,age4044_tot,age4044_male,age4044_fem,age4549_tot,age4549_male,age4549_fem,age5054_tot,age5054_male,age5054_fem,age5559_tot,age5559_male,age5559_fem,age6064_tot,age6064_male,age6064_fem,age6569_tot,age6569_male,age6569_fem,age7074_tot,age7074_male,age7074_fem,age7579_tot,age7579_male,age7579_fem,age8084_tot,age8084_male,age8084_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem,fips,county_state,inflow_returns,inflow_agi,outflow_returns,outflow_agi,personal_income_2023,gdp_2023,state_fips_code_1,state,county_fips_code_1,county_name,number_of_returns_2,number_of_single_returns,number_of_joint_returns,number_of_head_of_household_returns,number_of_electronically_filed_returns,number_of_computer_prepared_paper_returns,number_with_paid_preparers_signature,number_of_returns_with_direct_deposit,number_of_returns_with_virtual_currency_indicator,number_of_individuals_3,number_of_volunteer_prepared_returns_4,x16,x17,x18,number_of_refund_anticipation_check_returns_5,number_of_elderly_returns_6,adjusted_gross_income_agi_7,total_income,x23,salaries_and_wages_in_agi,x25,taxable_interest,x27,tax_exempt_interest_8,x29,ordinary_dividends,x31,qualified_dividends_9,x33,state_and_local_income_tax_refunds,x35,business_or_profession_net_income_less_loss,x37,net_capital_gain_less_loss_in_agi,x39,taxable_individual_retirement_arrangements_distributions,x41,taxable_pensions_and_annuities,x43,number_of_farm_returns,unemployment_compensation,x46,taxable_social_security_benefits,x48,partnership_s_corp_net_income_less_loss,x50,total_rental_and_royalty_net_income_less_loss,x52,total_statuory_adjustments,x54,educator_expenses,x56,self_employed_keogh_retirement_plans,x58,self_employed_health_insurance_deduction,x60,individual_retirement_arrangement_payments,x62,student_loan_interest_deduction,x64,total_standard_deduction,x66,basic_standard_deduction,x68,additional_standard_deduction,x70,total_itemized_deductions,x72,x73,total_medical_and_dental_expenses_deduction,x75,state_and_local_income_taxes,x77,state_and_local_general_sales_taxes,x79,real_estate_taxes,x81,personal_property_taxes,x83,limited_state_and_local_taxes_paid,x85,total_taxes_paid,x87,home_mortgage_interest_paid,x89,home_mortgage_interest_paid_to_personal_seller,x91,deductible_points,x93,investment_interest_paid,x95,total_charitable_contributions,x97,other_non_limited_miscellaneous_deduction,x99,qualified_business_income_deduction,x101,taxable_income,x103,income_tax_before_credits,x105,alternative_minimum_tax,x107,excess_advance_premium_tax_credit_repayment,x109,total_tax_credits_10,x111,foreign_tax_credit,x113,child_and_dependent_care_credit,x115,nonrefundable_education_credit,x117,retirement_savings_contributions_credit,x119,nonrefundable_child_and_other_dependent_tax_credit,x121,residential_energy_tax_credit,x123,self_employment_tax,x125,total_premium_tax_credit,x127,advance_premium_tax_credit,x129,total_tax_payments,x131,earned_income_credit_11,x133,earned_income_credit_with_no_qualifying_children,x135,earned_income_credit_with_one_qualifying_children,x137,earned_income_credit_with_two_qualifying_children,x139,earned_income_credit_with_three_or_more_qualifying_children,x141,excess_earned_income_credit_refundable_12,x143,refundable_child_tax_credit_or_additional_child_tax_credit,x145,refundable_education_credit_13,x147,net_premium_tax_credit,x149,income_tax_after_credits,x151,total_tax_liability_14,x153,total_additional_medicare_tax,x155,net_investment_income_tax,x157,tax_due_at_time_of_filing_15,x159,total_overpayments,x161,overpayments_refunded_16,x163,credited_to_next_years_estimated_tax,x165,net_migration_returns,net_migration_agi
Alabama,Autauga County,59191,28791,30400,3442,1803,1639,7069,3600,3469,3422,1712,1710,4533,2317,2216,46988,22536,24452,45258,21676,23582,22812,11181,11631,15710,7593,8117,15554,7580,7974,9461,4186,5275,3442,1803,1639,3739,1895,1844,4183,2146,2037,3854,1939,1915,3248,1649,1599,3781,1877,1904,3994,1854,2140,4028,2005,2023,3907,1857,2050,3820,1854,1966,3903,1927,1976,4072,2006,2066,3759,1793,1966,3053,1482,1571,2539,1139,1400,1804,735,1069,1161,476,685,904,354,550,39.2,38,40.2,01001,"Autauga County, Alabama",28498,2004237,27785,1957145,3202452,1907174,1,AL,1,Autauga County,25750,10720,10150,4140,23950,950,11860,16960,320,51350,250,130,120,0,4920,6450,1795342,25630,1808257,21160,1312069,7800,7538,480,1560,3510,14735,3220,10881,730,813,4350,31417,3240,41965,2240,42033,6110,194230,400,280,955,4360,75295,940,70139,1120,5407,4670,12915,580,177,40,906,370,3138,290,1407,630,614,23910,457845,23910,448780,4250,9067,1570,58181,272358,430,7495,1240,9110,280,574,1240,1900,940,336,1530,8855,1530,8899,1170,10646,0,0,30,14,40,115,1340,21283,160,5710,3060,18568,21050,1292697,21030,195840,0,0,640,821,10220,21484,900,229,1530,978,1370,1521,1750,343,7730,16969,440,578,2980,8930,1450,12978,1530,13951,24470,218492,4510,12764,860,315,1800,4544,1190,4796,660,3122,4050,11380,3580,6741,1190,1067,330,327,18120,174112,19470,185841,380,383,420,1154,6530,28686,18460,60965,18170,55963,330,4839,713,47092
Alabama,Baldwin County,239411,116727,122684,12390,6409,5981,25950,13292,12658,12735,6460,6275,16834,8401,8433,194599,93726,100873,188336,90566,97770,81716,40422,41294,55384,27214,28170,64999,31184,33815,51119,23767,27352,12390,6409,5981,13864,7120,6744,15323,7825,7498,14358,7248,7110,11974,5960,6014,12531,6298,6233,13788,6694,7094,14174,6990,7184,14891,7232,7659,14519,7094,7425,15778,7673,8105,16872,8018,8854,17830,8399,9431,16659,7759,8900,14689,6954,7735,9647,4613,5034,5713,2614,3099,4411,1827,2584,43.8,42.6,44.9,01003,"Baldwin County, Alabama",118523,11017397,106584,9291133,15590410,9928360,1,AL,3,Baldwin County,113660,49500,47750,13220,104260,4780,57350,63980,1630,215840,2170,270,1900,60,15980,37930,9878060,113060,9981274,83820,5786764,36000,66609,4560,27079,23250,214992,21430,161920,3180,3925,24240,352024,22750,824489,15730,415572,28060,870027,1300,1280,6037,25440,476951,9110,851495,7830,66343,26040,103214,2620,778,550,13984,3800,30045,1680,9201,2720,2653,102250,1973790,102250,1917930,25950,55862,9390,377435,2676069,2900,52309,7490,92580,1550,3202,7630,21361,5140,2334,9160,61912,9210,63937,6820,80815,170,1467,380,445,660,7182,7870,132724,820,37045,20070,190853,90080,7584739,90130,1355378,130,1901,5060,8101,39300,83893,7220,3477,4570,2752,4500,4987,5480,1109,26540,60197,2070,1831,18250,65572,9330,85805,9930,94608,104090,1382433,15940,41874,4180,1532,5850,14867,3930,16040,2000,9434,13570,34310,12270,23586,3760,3366,2330,2821,80600,1271486,88300,1367024,3440,5970,4430,17134,34810,280305,73440,291607,70640,229369,3560,62241,11939,1726264
Alabama,Barbour County,24517,12813,11704,1317,686,631,2622,1273,1349,1275,647,628,1937,1111,826,19909,10516,9393,19303,10207,9096,9109,5286,3823,6242,3702,2540,6172,3232,2940,4952,2162,2790,1317,686,631,1324,648,676,1643,799,844,1441,744,697,1426,840,586,1609,972,637,1572,956,616,1527,854,673,1534,920,614,1478,826,652,1498,799,699,1680,848,832,1516,759,757,1494,693,801,1418,625,793,1004,446,558,551,231,320,485,167,318,41.3,39.5,43.8,01005,"Barbour County, Alabama",9450,488461,9474,476369,1033178,730176,1,AL,5,Barbour County,9590,4600,2620,2170,8680,260,6060,6020,40,17750,110,110,0,30,2420,2570,481343,9410,485669,7440,317614,2120,2891,150,556,970,7681,920,6265,130,147,2000,11681,950,19038,760,15691,1910,47617,450,130,533,1590,25830,390,21795,380,873,1870,4326,240,70,0,0,110,780,50,284,140,145,8850,160960,8850,157383,1690,3578,370,12837,71627,150,2117,280,2345,90,163,280,507,230,97,370,2026,370,2076,230,1786,0,0,0,0,0,0,330,5797,20,114,1000,4899,6720,326674,6730,50526,0,0,230,262,3150,4583,230,34,280,181,410,409,620,141,2310,3632,100,113,1310,3486,540,5001,570,5497,8850,72507,2670,8163,510,196,1120,3072,690,3106,340,1802,2450,7293,1980,3623,430,397,100,78,5300,45933,6070,50826,60,112,130,443,1810,8441,7270,28476,7170,27489,120,1130,-24,12092
Alabama,Bibb County,22344,11941,10403,1196,583,613,2224,1161,1063,1091,588,503,1712,986,726,18372,9909,8463,17833,9609,8224,8760,5118,3642,6239,3687,2552,6043,3243,2800,3839,1693,2146,1196,583,613,1248,648,600,1258,656,602,1222,666,556,1299,765,534,1623,960,663,1660,995,665,1538,915,623,1418,817,601,1549,878,671,1527,823,704,1583,836,747,1384,706,678,1186,562,624,1068,508,560,709,296,413,482,206,276,394,121,273,40.5,38.8,42.9,01007,"Bibb County, Alabama",8074,556843,8615,566627,886174,471817,1,AL,7,Bibb County,8220,3480,3060,1530,7490,270,4450,5550,70,16420,0,0,0,0,1930,1950,461116,7980,464035,6720,360758,1710,1425,70,148,540,2518,480,1744,140,172,1450,9258,540,7069,540,9861,1510,38877,180,80,253,1230,19036,230,13199,220,1047,1350,2919,150,45,0,0,80,575,60,231,90,54,7570,146037,7570,143375,1260,2635,330,11554,56428,150,1702,250,2240,70,103,230,244,210,193,330,1838,330,1973,190,1346,0,0,0,0,0,0,300,4527,50,1645,660,3869,6320,312135,6350,44692,0,0,210,206,3120,5997,110,10,300,157,370,378,680,138,2420,4759,230,438,960,2274,370,3515,390,3684,7700,56730,1820,5124,350,133,780,2058,460,1938,220,995,1640,4551,1400,2574,320,263,80,62,5210,38672,5770,41556,40,29,60,144,1710,5539,6180,20635,6120,18759,90,1703,-541,-9784
Alabama,Blount County,59050,29367,29683,3426,1766,1660,6875,3492,3383,3301,1595,1706,4569,2406,2163,47097,23294,23803,45448,22514,22934,21210,10734,10476,14177,7148,7029,15661,7894,7767,11041,5066,5975,3426,1766,1660,3655,1865,1790,4057,2042,2015,3741,1865,1876,3292,1721,1571,3526,1794,1732,3548,1759,1789,3461,1729,1732,3642,1866,1776,3743,1873,1870,3997,2011,1986,4104,2063,2041,3817,1947,1870,3482,1685,1797,3091,1444,1647,2136,961,1175,1250,561,689,1082,415,667,41.1,40.4,41.9,01009,"Blount County, Alabama",24493,1506894,23839,1448015,2741524,1086171,1,AL,9,Blount County,24370,9870,11230,2730,23060,630,15010,15840,200,50110,110,70,40,0,4030,6230,1519359,23670,1531058,19300,1123207,6070,5729,280,1048,2270,11060,2100,8528,430,536,4260,50993,2220,36318,2070,37513,4850,118348,960,240,862,4020,64597,880,76910,770,3885,4620,11699,510,155,30,592,480,3550,220,1080,390,331,22410,446532,22410,437624,4150,8906,1040,37200,207732,350,5473,810,6655,150,238,820,1422,660,259,980,6147,1000,6178,720,6243,0,0,20,5,0,0,910,14743,80,2970,2580,20434,18780,1057930,18940,158391,0,0,890,1031,8760,18662,450,135,800,492,1000,1069,1770,350,6840,15700,370,419,3350,9577,1530,13198,1590,14264,22940,182628,4220,11032,1030,387,1440,3555,1070,4101,680,3002,3610,9221,3440,6884,880,741,420,374,16250,139609,17980,151519,230,275,290,818,5610,23622,17930,54449,17660,50196,310,3515,654,58879
Alabama,Bullock County,10126,5526,4600,529,271,258,1085,551,534,502,282,220,750,431,319,8249,4553,3696,8010,4422,3588,3905,2360,1545,2793,1729,1064,2629,1452,1177,1838,810,1028,529,271,258,572,279,293,653,354,299,560,307,253,552,324,228,686,440,246,748,463,285,698,440,258,661,386,275,651,410,241,596,342,254,656,335,321,726,365,361,638,324,314,490,216,274,315,127,188,205,84,121,190,59,131,40.5,38.7,43.3,01011,"Bullock County, Alabama",3825,148762,4031,163454,367110,281803,1,AL,11,Bullock County,3860,1820,660,1330,3390,170,2120,2630,30,7220,0,0,0,0,1080,930,148869,3710,150123,3090,114984,620,407,30,132,270,2981,250,2507,60,71,750,-13,270,9177,160,3019,670,14263,190,50,126,500,7146,80,1755,110,7,580,1254,50,13,0,0,30,179,60,198,50,55,3490,61954,3490,60819,570,1130,170,5177,19340,80,1012,130,619,0,0,100,177,90,40,160,755,160,830,70,585,0,0,0,0,0,0,140,1970,0,0,230,1002,2650,90452,2670,12096,0,0,80,58,1500,1927,60,5,180,122,210,196,380,81,1060,1350,80,131,400,893,260,2179,260,2302,3550,20944,1360,3988,260,101,570,1459,380,1680,150,754,1250,3598,1000,1935,280,261,50,41,1840,10166,2150,11371,0,0,30,174,610,2002,3040,11702,3020,11335,30,167,-206,-14692
Alabama,Butler County,18856,8843,10013,1091,552,539,2171,1138,1033,1022,549,473,1450,760,690,15060,6876,8184,14572,6604,7968,6628,3182,3446,4440,2020,2420,4748,2180,2568,3934,1644,2290,1091,552,539,1154,584,570,1301,701,600,1134,623,511,1054,539,515,1030,496,534,1089,494,595,1111,508,603,1210,522,688,1069,489,580,1153,541,612,1187,515,672,1339,635,704,1288,574,714,986,451,535,697,320,377,481,174,307,482,125,357,41.8,39.3,43.9,01013,"Butler County, Alabama",7604,375135,7916,389349,920985,665432,1,AL,13,Butler County,7650,3220,2140,2150,7170,240,4400,5280,60,14850,0,0,0,0,1830,1990,392115,7590,396038,6340,284926,1480,1855,110,524,630,8112,590,4743,90,90,1320,9210,610,11748,560,8989,1500,34385,380,140,479,1220,18512,220,15173,280,1584,1220,3923,180,56,0,0,130,1089,40,198,120,132,7230,134281,7230,131441,1370,2839,270,9807,54505,110,1641,210,1695,40,54,190,368,150,63,260,1375,260,1390,150,1097,0,0,0,0,0,0,220,3514,30,517,600,4627,5670,256235,5680,38515,0,0,220,222,2910,5138,140,71,210,136,490,493,630,133,2120,3360,180,342,840,2319,570,5051,580,5368,7230,51204,2380,7553,350,125,1030,2775,680,3024,310,1639,2230,6947,1710,3112,550,499,100,67,4280,33375,4780,36405,50,57,80,349,1450,6491,5940,21190,5840,20216,140,812,-312,-14214
Alabama,Calhoun County,115633,56091,59542,6399,3314,3085,12285,6287,5998,5967,3127,2840,12275,6085,6190,93913,44919,48994,90982,43363,47619,45351,22548,22803,28653,14121,14532,29073,14098,14975,20981,9059,11922,6399,3314,3085,6647,3356,3291,7182,3716,3466,8432,4275,4157,8266,4152,4114,7238,3600,3638,7531,3702,3829,6874,3405,3469,7010,3414,3596,6629,3256,3373,7172,3480,3692,7530,3717,3813,7742,3645,4097,7086,3323,3763,5883,2619,3264,3730,1584,2146,2299,944,1355,1983,589,1394,39.5,37.9,41,01015,"Calhoun County, Alabama",49291,2834232,48437,2754239,5234603,4845292,1,AL,15,Calhoun County,48650,22100,16470,8940,45100,1330,26300,33110,400,91730,1320,1240,80,230,9810,13130,2743743,48370,2762981,39150,1884521,11660,11203,790,4142,5030,28973,4640,22488,720,834,7860,79651,4430,83071,3990,73387,11380,323405,710,720,2213,8620,128754,1390,133894,1700,9801,8240,19238,1130,335,80,1553,520,3674,470,2201,880,889,45020,848507,45020,829094,9200,19410,3040,104645,451915,1520,20262,1550,13806,720,1181,1510,2998,1340,581,2320,11295,2330,11493,1280,9857,0,0,40,31,50,303,2780,46330,500,14096,4490,33841,37810,1840952,37880,279848,0,0,1210,1501,17210,30259,1190,339,1820,1068,2640,2639,3960,773,12330,23085,840,1476,5450,15246,2830,25964,2980,27933,46190,350171,10750,29309,2560,952,4070,10382,2710,11326,1420,6659,9720,26255,7890,14786,2410,2079,560,472,31730,249585,34820,269568,400,609,560,1651,10060,40377,37090,120351,36600,109610,640,10709,854,79993
Alabama,Chambers County,34396,16441,17955,1903,970,933,3630,1849,1781,1636,815,821,2856,1447,1409,28034,13215,14819,27227,12807,14420,12147,5917,6230,8080,3873,4207,9429,4520,4909,6862,2967,3895,1903,970,933,1982,1016,966,2073,1051,1022,2040,1029,1011,2027,1015,1012,2216,1061,1155,2075,1044,1031,1867,849,1018,1922,919,1003,2109,971,1138,2357,1163,1194,2468,1176,1292,2495,1210,1285,2229,1016,1213,1875,873,1002,1306,543,763,773,314,459,679,221,458,42.7,41.1,44.2,01017,"Chambers County, Alabama",14039,815056,14332,762648,1423571,937350,1,AL,17,Chambers County,13950,6570,3580,3550,12900,430,9490,9610,60,25790,80,80,0,0,3450,3250,675471,13870,679580,11960,534102,2200,2481,140,407,1090,7992,1040,6253,290,303,2760,2347,1030,16488,870,16043,2710,52277,340,260,892,1920,27645,350,15711,440,1074,2100,4109,280,82,0,0,100,872,110,580,200,212,12880,233756,12880,229429,2080,4328,900,30110,97239,430,5001,540,3557,160,232,430,737,270,154,700,3357,710,3482,380,2583,0,0,0,0,0,0,820,12239,120,3392,910,4536,10620,431860,10620,61710,0,0,380,409,5530,8614,200,78,620,396,810,819,1390,284,3700,5388,750,1466,1410,3254,980,8531,1000,9012,13190,88072,4030,11878,800,306,1730,4664,1000,4402,500,2516,3720,10785,2830,5263,900,808,150,113,8160,53072,9220,57492,90,125,120,319,2620,8939,10860,38540,10770,36519,130,1374,-293,52408
Alabama,Cherokee County,25060,12545,12515,1175,609,566,2335,1206,1129,1206,610,596,1761,883,878,20948,10417,10531,20344,10120,10224,7895,3965,3930,5233,2636,2597,7399,3745,3654,5951,2856,3095,1175,609,566,1254,630,624,1386,740,646,1355,672,683,1307,657,650,1391,735,656,1332,680,652,1192,565,627,1318,656,662,1575,789,786,1767,923,844,1962,1005,957,2095,1028,1067,1902,928,974,1755,887,868,1125,519,606,661,306,355,508,216,292,47.8,47.2,48.4,01019,"Cherokee County, Alabama",11091,653147,10262,570324,1172249,603805,1,AL,19,Cherokee County,10300,4060,4620,1440,9720,260,7140,6640,60,20410,80,0,80,0,1760,3260,605001,10230,609430,7810,414002,2860,3060,210,871,1180,6266,1100,4850,160,179,1900,14000,1180,22333,1060,20461,2590,69359,580,310,922,2150,33502,400,26764,460,1198,1940,4429,310,96,0,0,100,818,70,466,140,131,9520,190102,9520,185388,2220,4714,590,19708,83338,290,4253,400,2892,120,249,390,847,300,150,540,3073,540,3094,320,3022,0,0,0,0,0,0,500,7995,60,764,990,5238,7710,413278,7730,61153,0,0,350,378,3470,6101,230,33,260,155,430,476,840,168,2510,4989,200,157,1300,3782,830,8655,860,9092,9520,69097,2180,5766,570,206,800,2163,550,2201,280,1213,1900,4841,1530,2810,350,297,180,193,6620,55050,7420,59706,80,107,130,327,2270,13246,7540,22470,7460,21568,110,663,829,82823
