FIPS,State,County,PercentCOPD,PercentSmokers,PercentAdultsWithObesity,PercentPhysicallyInactive,PercentExcessiveDrinking,PercentInsufficientSleep,PercentDiabetic,PercentFairOrPoorHealth,PhysicallyUnhealthyDays,MentallyUnhealthyDays,PercentFrequentPhysicalDistress,PercentFrequentMentalDistress,LifeExpectancy,AgeAdjustedDeathRate,PercentUninsured,PrimaryCarePhysiciansRate,MentalHealthProviderRate,DentistRate,PreventableHospitalizationRate,PercentVaccinated,HighSchoolGraduationRate,PercentCompletedHighSchool,PercentSomeCollege,PercentUnemployed,PercentChildrenInPoverty,MedianHouseholdIncome,IncomeRatio,PercentFreeOrReducedLunch,Population,PercentlessThan18YearsOfAge,Percent65AndOver,PercentFemale,PercentRural,PercentAfricanAmerican,PercentHispanic,PercentNonHispanicWhite,AverageDailyPM25,PresenceOfWaterViolation,PercentSevereHousingProblems,PercentOvercrowding,PercentInadequateFacilities,FoodEnvironmentIndex,PercentFoodInsecure,PercentLimitedAccessToHealthyFoods
1001,Alabama,Autauga,6.8,20,33,31,14,38,13,20,4.5,4.9,13,16,77.2,409.0,10.0,47.0,29.0,34.0,6650.0,42.0,89.0,89,60,2.7,16.0,58233.0,5.1,47.0,37367,23.2,16.0,51.5,42.0,19.9,3.0,73.8,10.4,No,14,1,2,6.7,16,12.0
1003,Alabama,Baldwin,6.5,19,30,25,19,36,10,16,3.6,4.8,12,15,78.2,366.0,13.0,70.0,99.0,49.0,3471.0,46.0,88.0,91,67,2.7,14.0,59871.0,4.4,40.0,151112,21.3,21.0,51.5,42.3,8.6,4.7,83.2,7.2,No,13,1,0,7.8,13,5.0
1005,Alabama,Barbour,9.7,26,41,28,12,41,18,30,5.6,5.6,18,19,74.1,553.0,14.0,32.0,12.0,36.0,5314.0,39.0,82.0,73,36,3.8,41.0,35972.0,6.0,61.0,17964,20.6,19.7,47.1,67.8,47.8,4.5,45.5,9.4,No,14,2,1,5.5,22,11.0
1007,Alabama,Bibb,8.6,23,37,33,15,40,14,24,4.9,5.3,15,17,73.4,595.0,11.0,54.0,27.0,22.0,6690.0,40.0,88.0,79,40,3.1,26.0,47918.0,5.0,63.0,16168,20.3,16.7,46.7,68.4,21.1,2.8,74.4,10.0,No,9,1,1,7.6,15,3.0
1009,Alabama,Blount,7.8,23,33,33,16,39,15,22,5.0,5.4,15,17,74.4,520.0,14.0,21.0,17.0,19.0,4440.0,40.0,93.0,80,56,2.7,21.0,52902.0,4.4,50.0,39791,22.9,18.7,50.8,90.0,1.5,9.7,86.8,10.6,No,10,2,1,7.9,14,3.0
1011,Alabama,Bullock,9.8,25,47,42,12,45,30,31,5.5,5.4,18,18,74.4,523.0,12.0,30.0,30.0,20.0,5645.0,29.0,88.0,75,32,3.6,40.0,31906.0,5.6,76.0,7101,20.8,16.9,45.5,51.4,69.1,8.6,21.0,9.2,No,20,0,2,5.0,21,20.0
1013,Alabama,Butler,8.2,23,47,40,13,42,20,28,5.4,5.7,17,19,74.2,568.0,12.0,25.0,57.0,31.0,8070.0,35.0,83.0,85,40,3.6,35.0,39944.0,5.0,71.0,13819,22.0,20.8,53.6,71.2,44.6,1.5,51.1,8.9,Yes,12,2,0,6.8,19,3.0
1015,Alabama,Calhoun,8.2,21,40,31,14,38,17,24,4.9,5.7,15,18,73.5,557.0,11.0,64.0,122.0,68.0,5879.0,40.0,91.0,84,59,3.5,25.0,47747.0,4.8,59.0,79108,21.5,18.1,52.0,33.7,21.0,4.1,71.7,10.8,No,13,2,1,6.6,17,9.0
1017,Alabama,Chambers,7.9,23,42,29,14,41,18,25,5.0,5.5,16,18,75.0,493.0,12.0,42.0,3.0,18.0,5784.0,43.0,81.0,82,50,2.9,30.0,42015.0,4.8,70.0,23789,20.8,20.2,52.2,49.1,39.8,2.6,55.1,10.2,No,15,3,1,6.7,16,10.0
1019,Alabama,Cherokee,8.8,24,38,30,16,38,16,23,4.9,5.6,16,18,74.5,534.0,13.0,38.0,23.0,15.0,5178.0,50.0,94.0,82,48,2.9,23.0,45982.0,4.8,62.0,18874,18.9,23.5,50.7,85.7,4.1,1.7,91.7,10.3,No,12,2,1,7.7,16,0.0
1021,Alabama,Chilton,8.3,23,42,33,15,39,19,24,4.9,5.5,16,18,74.9,508.0,16.0,23.0,54.0,29.0,3869.0,42.0,87.0,82,40,2.7,23.0,49692.0,4.9,61.0,30046,23.8,17.1,50.9,86.7,9.9,8.2,79.9,10.2,No,15,3,1,7.6,16,1.0
1023,Alabama,Choctaw,8.8,23,47,34,14,42,18,26,5.2,5.6,16,18,74.7,507.0,13.0,39.0,8.0,48.0,5039.0,34.0,83.0,81,60,4.7,30.0,39808.0,5.9,77.0,9329,19.7,23.6,52.8,100.0,41.6,1.0,56.3,8.9,No,11,1,2,6.1,21,7.0
1025,Alabama,Clarke,8.5,24,36,41,14,43,25,27,5.3,5.6,17,19,74.6,509.0,13.0,54.0,72.0,34.0,5206.0,30.0,93.0,81,41,5.8,29.0,43822.0,8.3,71.0,16770,21.3,20.5,52.8,76.0,44.7,1.3,52.1,9.1,No,13,2,1,5.7,21,11.0
1027,Alabama,Clay,8.7,25,37,34,16,39,16,25,5.1,5.7,16,19,74.9,516.0,16.0,38.0,15.0,15.0,6054.0,44.0,88.0,77,34,3.0,26.0,40562.0,4.7,66.0,9459,20.2,21.0,51.3,100.0,13.5,3.3,80.3,7.4,No,10,0,1,7.5,16,2.0
1029,Alabama,Cleburne,8.5,24,34,26,16,38,14,23,4.9,5.5,15,18,74.4,539.0,14.0,20.0,54.0,,4838.0,41.0,94.0,79,46,3.2,18.0,51276.0,4.7,54.0,10481,22.5,20.2,50.8,100.0,2.7,2.6,92.8,9.8,No,13,1,1,7.2,18,2.0
1031,Alabama,Coffee,7.3,21,37,32,16,37,16,22,4.6,4.8,14,16,76.4,435.0,13.0,46.0,76.0,32.0,4561.0,38.0,94.0,86,64,2.9,22.0,57299.0,4.9,46.0,35293,23.7,17.3,50.8,47.2,17.1,8.0,69.4,9.1,No,11,1,0,7.2,16,6.0
1033,Alabama,Colbert,7.5,22,37,35,16,40,17,22,4.6,5.3,14,17,74.6,518.0,11.0,64.0,36.0,49.0,6521.0,47.0,93.0,85,53,3.7,19.0,46683.0,4.8,53.0,38959,20.9,20.0,52.2,43.9,16.0,3.2,77.7,7.5,No,14,1,1,7.0,16,7.0
1035,Alabama,Conecuh,8.5,26,42,43,13,44,24,29,5.4,5.8,18,19,73.1,612.0,12.0,41.0,58.0,17.0,12212.0,45.0,83.0,84,39,4.0,35.0,41539.0,4.8,67.0,8833,20.5,23.5,52.3,80.9,45.5,2.3,50.4,8.8,No,13,1,3,5.8,20,13.0
