stname,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age04_tot,age04_male,age04_fem,age59_tot,age59_male,age59_fem,age1014_tot,age1014_male,age1014_fem,age1519_tot,age1519_male,age1519_fem,age2024_tot,age2024_male,age2024_fem,age2529_tot,age2529_male,age2529_fem,age3034_tot,age3034_male,age3034_fem,age3539_tot,age3539_male,age3539_fem,age4044_tot,age4044_male,age4044_fem,age4549_tot,age4549_male,age4549_fem,age5054_tot,age5054_male,age5054_fem,age5559_tot,age5559_male,age5559_fem,age6064_tot,age6064_male,age6064_fem,age6569_tot,age6569_male,age6569_fem,age7074_tot,age7074_male,age7074_fem,age7579_tot,age7579_male,age7579_fem,age8084_tot,age8084_male,age8084_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem,inflow_returns,inflow_agi,outflow_returns,outflow_agi,state_fips_code_1,county_fips_code_1,number_of_returns_2,number_of_single_returns,number_of_joint_returns,number_of_head_of_household_returns,number_of_electronically_filed_returns,number_of_computer_prepared_paper_returns,number_with_paid_preparers_signature,number_of_returns_with_direct_deposit,number_of_returns_with_virtual_currency_indicator,number_of_individuals_3,number_of_refund_anticipation_check_returns_5,number_of_elderly_returns_6,adjusted_gross_income_agi_7,number_of_farm_returns,net_migration_returns,net_migration_agi
Alabama,5049196,2453002,2596194,294227,150368,143859,568866,290047,278819,265054,135371,129683,475424,237546,237878,4051803,1944006,2107797,3921049,1877216,2043833,1949632,963968,985664,1277137,625761,651376,1287898,625102,662796,880590,388807,491783,294227,150368,143859,308639,156987,151652,328210,167770,160440,334654,169518,165136,337841,168689,169152,324498,161584,162914,331746,162419,169327,312496,151882,160614,308397,149876,158521,300706,146205,154501,319390,156920,162470,334819,162687,172132,332983,159290,173693,291907,136297,155610,244890,112032,132858,158349,69707,88642,99863,41138,58725,85581,29633,55948,2761.8,2666.5,2854.4,2186785,168424215,2146027,164530724,67,4489,2149580,963670,753090,381200,2002390,69910,1183030,1391400,25040,4125960,424130,565600,158713459,44030,40758,3893491
Alaska,734420,385954,348466,48049,24588,23461,91830,47201,44629,38951,20108,18843,67376,38247,29129,574762,303904,270858,555590,294057,261533,312186,167962,144224,215908,114843,101065,174185,92014,82171,98121,48953,49168,48049,24588,23461,51021,26069,24952,50858,26368,24490,45715,24064,21651,50563,29055,21508,55787,30361,25426,58122,30406,27716,55315,29366,25949,46684,24710,21974,40812,21808,19004,42726,22671,20055,45342,23874,21468,45305,23661,21644,38378,19632,18746,28235,14604,13631,15996,7990,8006,8676,4068,4608,6836,2659,4177,1153.4,1168.4,1132.5,358141,31650557,367839,33061040,60,4208,348300,181320,121600,35760,321000,13280,142330,198730,7080,635470,47380,83980,30229762,1270,-9698,-1410483
Arizona,7274078,3632134,3641944,397409,202611,194798,814454,416281,398173,385970,197640,188330,674555,348363,326192,5866776,2913297,2953479,5676245,2815602,2860643,2875385,1480712,1394673,1913523,985160,928363,1734917,855419,879498,1353250,626660,726590,397409,202611,194798,440770,225283,215487,472347,241449,230898,472973,243209,229764,488889,252343,236546,501617,259720,241897,497737,257354,240383,469379,242003,227376,444790,226083,218707,418589,210123,208466,430593,215342,215251,438665,215153,223512,447070,214801,232269,413106,193820,219286,377522,177197,200325,259385,121256,138129,162896,75219,87677,140341,59168,81173,630.6,615.9,646.4,3428146,311154153,3342174,296473992,60,208,3372200,1689290,1152030,474120,3132110,124210,1561460,2057590,59970,6279990,470080,930050,286969138,9370,85972,14680161
Arkansas,3026870,1495032,1531838,181987,93172,88815,356626,183153,173473,166613,85213,81400,281030,143210,137820,2403674,1175484,1228190,2321644,1133494,1188150,1179555,594871,584684,774719,388355,386364,741240,365499,375741,524655,236430,288225,181987,93172,88815,193757,99618,94139,205676,105442,100234,202955,103880,99075,201881,102636,99245,195616,98588,97028,199254,99567,99687,192269,96325,95944,187580,93875,93705,176251,87467,88784,181871,90814,91057,192170,94536,97634,190948,92682,98266,169261,79960,89301,144052,66969,77083,95845,43126,52719,61300,26423,34877,54197,19952,34245,3137.7,3040.2,3240.9,1365301,103676966,1334673,101426419,375,5625,1296030,574460,486390,204370,1219390,37040,709570,838200,15810,2535050,239520,335510,95532279,41610,30628,2250547
California,39142565,19559536,19583029,2199725,1124659,1075066,4459094,2284968,2174126,2077203,1062942,1014261,3474349,1781630,1692719,31434574,15611890,15822684,30406543,15086967,15319576,16257799,8329418,7928381,11235533,5756528,5479005,9721774,4853888,4867886,5974887,2694921,3279966,2199725,1124659,1075066,2425439,1241705,1183734,2562941,1314945,1247996,2515006,1287573,1227433,2507260,1285317,1221943,2830501,1449868,1380633,3002050,1543293,1458757,2813674,1447942,1365732,2589308,1315425,1273883,2431758,1222238,1209520,2501600,1261092,1240508,2461006,1227477,1233529,2327410,1143081,1184329,1964472,935600,1028872,1600539,741790,858749,1048879,470333,578546,677749,290794,386955,683248,256404,426844,2350.4,2302.3,2406.2,18389664,2236191386,18999786,2334853495,348,3364,18487220,9539550,6142130,2466780,17116680,774120,11385090,10284730,416560,34442310,1733520,4454770,1989381435,56950,-610122,-98662109
Colorado,5814036,2944362,2869674,314686,160416,154270,630377,323037,307340,299375,153391,145984,528184,275861,252323,4718460,2383701,2334759,4569598,2307518,2262080,2497680,1299758,1197922,1745841,909388,836453,1412426,713214,699212,883147,409055,474092,314686,160416,154270,339682,173435,166247,366415,188484,177931,372817,192552,180265,379022,197818,181204,443651,231367,212284,463704,242170,221534,441796,231151,210645,396690,204700,191990,355128,183856,171272,354661,181858,172803,349126,173812,175314,353511,173688,179823,308865,149189,159676,250088,119662,130426,150228,69701,80527,90314,39516,50798,83652,30987,52665,2766.5,2719,2830.6,3337029,358091924,3313196,352403910,512,3983,2972420,1583870,1043580,277410,2768710,109220,1316120,1720880,64530,5250160,360520,721900,297750481,26050,23833,5688014
Connecticut,3606607,1769229,1837378,179818,91836,87982,366990,187225,179765,185743,94604,91139,338573,172258,166315,2967793,1443378,1524415,2874056,1395564,1478492,1383280,697993,685287,904955,454505,450450,981878,479624,502254,648650,289177,359473,179818,91836,87982,195475,99681,95794,217506,110918,106588,240329,122019,118310,237996,121469,116527,225625,115672,109953,227309,114405,112904,231642,115692,115950,220379,108736,111643,212518,103959,108559,247749,121171,126578,266392,129988,136404,255219,124506,130713,209721,100663,109058,169354,77975,91379,116388,51991,64397,73353,30742,42611,79834,27806,52028,380.5,367.9,393,1806692,238892025,1837530,242800920,81,1350,1823190,942050,609250,226030,1690740,72380,977540,1094150,34020,3203160,212200,529680,217625271,3220,-30838,-3908895
Delaware,1005062,487575,517487,53919,27619,26300,106402,54121,52281,49599,24843,24756,84614,42516,42098,819758,393327,426431,795142,380992,414150,371626,184753,186873,249921,123672,126249,260260,124287,135973,200347,90517,109830,53919,27619,26300,57737,29324,28413,61173,31075,30098,63381,31612,31769,58324,29469,28855,61463,30824,30639,67166,33093,34073,62612,31134,31478,58680,28621,30059,54340,26326,28014,62636,30098,32538,70300,33552,36748,72984,34311,38673,67034,31115,35919,56562,26239,30323,36417,16582,19835,21630,9512,12118,18704,7069,11635,128.8,124.30000000000001,133.1,503183,45335482,483642,42891835,30,9,503130,248990,170860,69320,465260,19150,239970,309930,7320,901500,71760,159110,42386802,1850,19541,2443647
District of Columbia,669256,318696,350560,40469,20770,19699,63188,32050,31138,21673,10853,10820,66205,29522,36683,554309,260207,294102,543926,255023,288903,337546,159706,177840,255490,122241,133249,136742,67804,68938,85489,35456,50033,40469,20770,19699,37637,19216,18421,31373,15744,15629,36149,17047,19102,45907,20418,25489,69911,31546,38365,75578,36549,39029,62756,30703,32053,47245,23443,23802,36270,18143,18127,34627,17557,17070,34074,16972,17102,31771,15132,16639,27751,12327,15424,22724,9679,13045,14780,6040,8740,9749,3822,5927,10485,3588,6897,34.8,34.7,34.9,389093,51504291,397503,56235389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8410,-4731098
Florida,21831949,10722008,11109941,1100360,561693,538667,2165287,1107761,1057526,1015069,518156,496913,1764172,895341,868831,18052423,8790442,9261981,17551233,8534398,9016835,8002151,4044910,3957241,5481738,2763522,2718216,5681959,2776836,2905123,4623364,2098699,2524665,1100360,561693,538667,1179621,603292,576329,1244494,636578,607916,1252673,639693,612980,1267740,641695,626045,1334468,677911,656557,1432442,723529,708913,1383742,697611,686131,1331086,664471,666615,1303837,645706,658131,1397129,691922,705207,1499436,731283,768153,1481557,707925,773632,1352012,628553,723459,1237241,574429,662812,888851,407968,480883,586865,262252,324613,558395,225497,332898,2976.8,2884,3081.6,11679277,1228650618,11157556,1079255170,804,4550,11129620,5623290,3559950,1640470,10240700,478670,6139410,6838710,219500,19730730,1657100,3234300,1121879067,37010,521721,149395448
